Store,Date,Sales,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2
1,2013-01-01,0,0,0,a,1,c,a,1270.0,0
1,2013-01-02,5530,1,0,0,1,c,a,1270.0,0
1,2013-01-03,4327,1,0,0,1,c,a,1270.0,0
1,2013-01-04,4486,1,0,0,1,c,a,1270.0,0
1,2013-01-05,4997,1,0,0,1,c,a,1270.0,0
1,2013-01-06,0,0,0,0,1,c,a,1270.0,0
1,2013-01-07,7176,1,1,0,1,c,a,1270.0,0
1,2013-01-08,5580,1,1,0,1,c,a,1270.0,0
1,2013-01-09,5471,1,1,0,1,c,a,1270.0,0
1,2013-01-10,4892,1,1,0,1,c,a,1270.0,0
1,2013-01-11,4881,1,1,0,1,c,a,1270.0,0
1,2013-01-12,4952,1,0,0,0,c,a,1270.0,0
1,2013-01-13,0,0,0,0,0,c,a,1270.0,0
1,2013-01-14,4717,1,0,0,0,c,a,1270.0,0
1,2013-01-15,3900,1,0,0,0,c,a,1270.0,0
1,2013-01-16,4008,1,0,0,0,c,a,1270.0,0
1,2013-01-17,4044,1,0,0,0,c,a,1270.0,0
1,2013-01-18,4127,1,0,0,0,c,a,1270.0,0
1,2013-01-19,5182,1,0,0,0,c,a,1270.0,0
1,2013-01-20,0,0,0,0,0,c,a,1270.0,0
1,2013-01-21,5394,1,1,0,0,c,a,1270.0,0
1,2013-01-22,5720,1,1,0,0,c,a,1270.0,0
1,2013-01-23,5578,1,1,0,0,c,a,1270.0,0
1,2013-01-24,5195,1,1,0,0,c,a,1270.0,0
1,2013-01-25,5586,1,1,0,0,c,a,1270.0,0
1,2013-01-26,5598,1,0,0,0,c,a,1270.0,0
1,2013-01-27,0,0,0,0,0,c,a,1270.0,0
1,2013-01-28,4055,1,0,0,0,c,a,1270.0,0
1,2013-01-29,3725,1,0,0,0,c,a,1270.0,0
1,2013-01-30,4601,1,0,0,0,c,a,1270.0,0
1,2013-01-31,4709,1,0,0,0,c,a,1270.0,0
1,2013-02-01,5633,1,0,0,0,c,a,1270.0,0
1,2013-02-02,5970,1,0,0,0,c,a,1270.0,0
1,2013-02-03,0,0,0,0,0,c,a,1270.0,0
1,2013-02-04,7032,1,1,0,0,c,a,1270.0,0
1,2013-02-05,6049,1,1,0,0,c,a,1270.0,0
1,2013-02-06,6140,1,1,0,0,c,a,1270.0,0
1,2013-02-07,5499,1,1,0,0,c,a,1270.0,0
1,2013-02-08,5681,1,1,0,0,c,a,1270.0,0
1,2013-02-09,5370,1,0,0,0,c,a,1270.0,0
1,2013-02-10,0,0,0,0,0,c,a,1270.0,0
1,2013-02-11,4409,1,0,0,0,c,a,1270.0,0
1,2013-02-12,4015,1,0,0,0,c,a,1270.0,0
1,2013-02-13,4252,1,0,0,0,c,a,1270.0,0
1,2013-02-14,4241,1,0,0,0,c,a,1270.0,0
1,2013-02-15,4809,1,0,0,0,c,a,1270.0,0
1,2013-02-16,6154,1,0,0,0,c,a,1270.0,0
1,2013-02-17,0,0,0,0,0,c,a,1270.0,0
1,2013-02-18,6407,1,1,0,0,c,a,1270.0,0
1,2013-02-19,5386,1,1,0,0,c,a,1270.0,0
1,2013-02-20,5660,1,1,0,0,c,a,1270.0,0
1,2013-02-21,5261,1,1,0,0,c,a,1270.0,0
1,2013-02-22,5000,1,1,0,0,c,a,1270.0,0
1,2013-02-23,5237,1,0,0,0,c,a,1270.0,0
1,2013-02-24,0,0,0,0,0,c,a,1270.0,0
1,2013-02-25,4038,1,0,0,0,c,a,1270.0,0
1,2013-02-26,3794,1,0,0,0,c,a,1270.0,0
1,2013-02-27,4558,1,0,0,0,c,a,1270.0,0
1,2013-02-28,4676,1,0,0,0,c,a,1270.0,0
1,2013-03-01,4611,1,0,0,0,c,a,1270.0,0
1,2013-03-02,5350,1,0,0,0,c,a,1270.0,0
1,2013-03-03,0,0,0,0,0,c,a,1270.0,0
1,2013-03-04,7675,1,1,0,0,c,a,1270.0,0
1,2013-03-05,6300,1,1,0,0,c,a,1270.0,0
1,2013-03-06,5973,1,1,0,0,c,a,1270.0,0
1,2013-03-07,5637,1,1,0,0,c,a,1270.0,0
1,2013-03-08,5853,1,1,0,0,c,a,1270.0,0
1,2013-03-09,5578,1,0,0,0,c,a,1270.0,0
1,2013-03-10,0,0,0,0,0,c,a,1270.0,0
1,2013-03-11,4949,1,0,0,0,c,a,1270.0,0
